start	end	text
1800	3120	This is a test.
3540	4380	One hundred and twelve.
4760	5960	Four, four, right.
8820	10500	And Max, Cress.
11380	12760	Eighty, one right.
13720	14880	One hundred, three.
15900	16540	Forty.
16960	18160	One right.
19900	20800	Three right.
21020	21440	Two, four, four.
23760	25680	And complete, three right.
27200	28400	One hundred, four.
28400	43740	to right-right, one-hundred-threading, five-five tight breaks. Open, left-hawk, in-tune backstrike,
43740	49720	four-five, forty-two, right-over-thrust, and two-three, left-finish, seven-lush.
